21.74172900,-32.54322200,1511.84200000,1015.58300000,2394450.00000000,1550.29000000,2458793.90444367,1.23946430,16683.93000000,409.80100000,-5.39226853,0.03087015,2394450.00000000,1550.29000000,7611.50000000,5741.61000000,3330.82000000
21.74172900,-32.54322200,1511.84200000,1015.58300000,2394450.00000000,1550.29000000,2458793.90665848,1.23946430,16683.93000000,409.80100000,-5.39226853,0.03087015,2394450.00000000,1550.29000000,7611.50000000,5741.61000000,3330.82000000
21.74176000,-32.54317800,1487.21600000,1029.66100000,2058430.00000000,1442.95000000,2458793.91931993,1.17593320,13477.25000000,530.75200000,-5.45983705,0.03087152,2058430.00000000,1442.95000000,6133.26000000,4466.40000000,2877.59000000
21.74176000,-32.54317800,1487.21600000,1029.66100000,2058430.00000000,1442.95000000,2458793.92153504,1.17593320,13477.25000000,530.75200000,-5.45983705,0.03087152,2058430.00000000,1442.95000000,6133.26000000,4466.40000000,2877.59000000
21.74208300,-32.54308800,1510.48500000,957.23300000,1654410.00000000,1289.62000000,2458794.09585492,1.07978110,15240.60000000,393.31200000,-5.08910270,0.03087374,1654410.00000000,1289.62000000,7729.09000000,4448.86000000,3062.65000000
21.74208300,-32.54308800,1510.48500000,957.23300000,1654410.00000000,1289.62000000,2458794.09807031,1.07978110,15240.60000000,393.31200000,-5.08910270,0.03087374,1654410.00000000,1289.62000000,7729.09000000,4448.86000000,3062.65000000
21.74178600,-32.54323000,1527.14000000,1046.11500000,1980100.00000000,1410.27000000,2458794.91923872,1.16573200,13642.20000000,336.37400000,-5.40450678,0.03087183,1980100.00000000,1410.27000000,6081.77000000,4638.57000000,2921.86000000
21.74178600,-32.54323000,1527.14000000,1046.11500000,1980100.00000000,1410.27000000,2458794.92145614,1.16573200,13642.20000000,336.37400000,-5.40450678,0.03087183,1980100.00000000,1410.27000000,6081.77000000,4638.57000000,2921.86000000
21.74179200,-32.54313200,1547.15800000,984.70700000,2020310.00000000,1466.14000000,2458795.12082808,1.16142800,15288.08000000,903.48400000,-5.30266267,0.03087220,2020310.00000000,1466.14000000,7088.88000000,4592.64000000,3606.56000000
21.74179200,-32.54313200,1547.15800000,984.70700000,2020310.00000000,1466.14000000,2458795.12304576,1.16142800,15288.08000000,903.48400000,-5.30266267,0.03087220,2020310.00000000,1466.14000000,7088.88000000,4592.64000000,3606.56000000
21.74175300,-32.54327100,1505.39900000,998.51700000,2207560.00000000,1493.07000000,2458795.25703613,1.23504100,13556.00000000,448.37400000,-5.52945239,0.03087088,2207560.00000000,1493.07000000,6178.44000000,4843.99000000,2533.57000000
21.74175300,-32.54327100,1505.39900000,998.51700000,2207560.00000000,1493.07000000,2458795.25925459,1.23504100,13556.00000000,448.37400000,-5.52945239,0.03087088,2207560.00000000,1493.07000000,6178.44000000,4843.99000000,2533.57000000
21.74202500,-32.54306200,1479.39700000,1007.40500000,1900230.00000000,1383.71000000,2458796.07947303,1.05692090,13156.93000000,393.18900000,-5.39912902,0.03087227,1900230.00000000,1383.71000000,5958.26000000,4145.07000000,3053.60000000
21.74202500,-32.54306200,1479.39700000,1007.40500000,1900230.00000000,1383.71000000,2458796.08169321,1.05692090,13156.93000000,393.18900000,-5.39912902,0.03087227,1900230.00000000,1383.71000000,5958.26000000,4145.07000000,3053.60000000
21.74170000,-32.54318000,1482.67000000,1017.43100000,2407950.00000000,1554.05000000,2458796.25762264,1.21962140,11943.33000000,384.79200000,-5.76130508,0.03087009,2407950.00000000,1554.05000000,5490.68000000,4063.81000000,2388.84000000
21.74170000,-32.54318000,1482.67000000,1017.43100000,2407950.00000000,1554.05000000,2458796.25984349,1.21962140,11943.33000000,384.79200000,-5.76130508,0.03087009,2407950.00000000,1554.05000000,5490.68000000,4063.81000000,2388.84000000
21.74175000,-32.54313600,1496.33400000,1036.53200000,2025960.00000000,1430.38000000,2458796.91903354,1.14664480,13956.66000000,464.81700000,-5.40462342,0.03087166,2025960.00000000,1430.38000000,6733.32000000,4459.08000000,2764.26000000
21.74175000,-32.54313600,1496.33400000,1036.53200000,2025960.00000000,1430.38000000,2458796.92125545,1.14664480,13956.66000000,464.81700000,-5.40462342,0.03087166,2025960.00000000,1430.38000000,6733.32000000,4459.08000000,2764.26000000
21.74172500,-32.54321700,1494.60900000,966.42800000,2055390.00000000,1446.76000000,2458797.08574214,1.07587100,14758.63000000,627.08400000,-5.35962049,0.03087160,2055390.00000000,1446.76000000,6636.52000000,5061.77000000,3060.34000000
21.74172500,-32.54321700,1494.60900000,966.42800000,2055390.00000000,1446.76000000,2458797.08796429,1.07587100,14758.63000000,627.08400000,-5.35962049,0.03087160,2055390.00000000,1446.76000000,6636.52000000,5061.77000000,3060.34000000
21.74208900,-32.54310000,1499.36000000,1001.74000000,1601510.00000000,1276.10000000,2458797.64371897,1.00640280,8699.64000000,464.98400000,-5.66257093,0.03087426,1601510.00000000,1276.10000000,4147.57000000,2614.64000000,1937.43000000
21.74208900,-32.54310000,1499.36000000,1001.74000000,1601510.00000000,1276.10000000,2458797.64594183,1.00640280,8699.64000000,464.98400000,-5.66257093,0.03087426,1601510.00000000,1276.10000000,4147.57000000,2614.64000000,1937.43000000
21.74179500,-32.54317000,1561.42900000,1024.57600000,2053550.00000000,1439.15000000,2458797.91970637,1.13515550,15524.90000000,408.03100000,-5.30369118,0.03087152,2053550.00000000,1439.15000000,6927.61000000,5588.94000000,3008.35000000
21.74179500,-32.54317000,1561.42900000,1024.57600000,2053550.00000000,1439.15000000,2458797.92192904,1.13515550,15524.90000000,408.03100000,-5.30369118,0.03087152,2053550.00000000,1439.15000000,6927.61000000,5588.94000000,3008.35000000
21.74180000,-32.54321500,1564.19400000,1030.92000000,1822850.00000000,1354.96000000,2458797.92946363,1.10601460,14292.27000000,394.19000000,-5.26412430,0.03087269,1822850.00000000,1354.96000000,6426.07000000,4676.79000000,3189.41000000
21.74180000,-32.54321500,1564.19400000,1030.92000000,1822850.00000000,1354.96000000,2458797.93168632,1.10601460,14292.27000000,394.19000000,-5.26412430,0.03087269,1822850.00000000,1354.96000000,6426.07000000,4676.79000000,3189.41000000
21.74175900,-32.54315800,1461.89600000,967.68800000,1925510.00000000,1390.69000000,2458798.08565910,1.08218390,14002.58000000,334.23800000,-5.34584429,0.03087210,1925510.00000000,1390.69000000,6513.16000000,4571.08000000,2918.34000000
21.74175900,-32.54315800,1461.89600000,967.68800000,1925510.00000000,1390.69000000,2458798.08788294,1.08218390,14002.58000000,334.23800000,-5.34584429,0.03087210,1925510.00000000,1390.69000000,6513.16000000,4571.08000000,2918.34000000
21.74175700,-32.54318300,1523.83400000,994.38700000,2432250.00000000,1563.00000000,2458799.52107395,1.46675380,12043.50000000,343.62900000,-5.76313874,0.03087003,2432250.00000000,1563.00000000,5637.14000000,4075.42000000,2330.94000000
21.74175700,-32.54318300,1523.83400000,994.38700000,2432250.00000000,1563.00000000,2458799.52329834,1.46675380,12043.50000000,343.62900000,-5.76313874,0.03087003,2432250.00000000,1563.00000000,5637.14000000,4075.42000000,2330.94000000
21.74179500,-32.54329800,1540.42100000,991.05100000,2192690.00000000,1486.22000000,2458801.08542472,1.10298470,14693.33000000,408.38200000,-5.43464251,0.03087091,2192690.00000000,1486.22000000,6555.61000000,5098.86000000,3038.86000000
21.74179500,-32.54329800,1540.42100000,991.05100000,2192690.00000000,1486.22000000,2458801.08764928,1.10298470,14693.33000000,408.38200000,-5.43464251,0.03087091,2192690.00000000,1486.22000000,6555.61000000,5098.86000000,3038.86000000
21.74202600,-32.54308900,1499.07800000,993.45500000,1586600.00000000,1265.19000000,2458801.58529265,1.01186940,7206.90000000,368.23900000,-5.85679738,0.03087428,1586600.00000000,1265.19000000,3377.50000000,2223.55000000,1605.85000000
21.74202600,-32.54308900,1499.07800000,993.45500000,1586600.00000000,1265.19000000,2458801.58751741,1.01186940,7206.90000000,368.23900000,-5.85679738,0.03087428,1586600.00000000,1265.19000000,3377.50000000,2223.55000000,1605.85000000
21.74177700,-32.54315700,1494.74100000,1002.01700000,2087810.00000000,1448.23000000,2458803.08522117,1.11833110,13651.16000000,353.76900000,-5.46130354,0.03087133,2087810.00000000,1448.23000000,5848.71000000,5067.89000000,2734.56000000
21.74177700,-32.54315700,1494.74100000,1002.01700000,2087810.00000000,1448.23000000,2458803.08744493,1.11833110,13651.16000000,353.76900000,-5.46130354,0.03087133,2087810.00000000,1448.23000000,5848.71000000,5067.89000000,2734.56000000
21.74175200,-32.54316800,1538.34300000,1005.03500000,2055890.00000000,1440.93000000,2458803.91854061,1.09041250,14134.83000000,428.04600000,-5.40677321,0.03087152,2055890.00000000,1440.93000000,6903.14000000,4407.72000000,2823.97000000
21.74175200,-32.54316800,1538.34300000,1005.03500000,2055890.00000000,1440.93000000,2458803.92076298,1.09041250,14134.83000000,428.04600000,-5.40677321,0.03087152,2055890.00000000,1440.93000000,6903.14000000,4407.72000000,2823.97000000
21.74175900,-32.54326900,1494.71000000,995.08200000,1500100.00000000,1230.40000000,2458805.56332225,1.02235230,7220.97000000,365.26300000,-5.79381168,0.03087499,1500100.00000000,1230.40000000,3412.72000000,2183.08000000,1625.17000000
21.74175900,-32.54326900,1494.71000000,995.08200000,1500100.00000000,1230.40000000,2458805.56554207,1.02235230,7220.97000000,365.26300000,-5.79381168,0.03087499,1500100.00000000,1230.40000000,3412.72000000,2183.08000000,1625.17000000
21.74175200,-32.54325700,1503.15800000,998.44000000,2080840.00000000,1446.97000000,2458805.95497749,1.01771990,13647.28000000,387.93800000,-5.45798146,0.03087137,2080840.00000000,1446.97000000,6371.58000000,4695.41000000,2580.29000000
21.74175200,-32.54325700,1503.15800000,998.44000000,2080840.00000000,1446.97000000,2458805.95719652,1.01771990,13647.28000000,387.93800000,-5.45798146,0.03087137,2080840.00000000,1446.97000000,6371.58000000,4695.41000000,2580.29000000
