21.74174200,-32.54326100,1510.61200000,1012.54100000,5922250.00000000,2439.02000000,2458793.90470183,1.23823600,40586.30000000,393.66300000,-5.41026819,0.00988159,5922250.00000000,2439.02000000,12819.00000000,27767.30000000
21.74174200,-32.54326100,1510.61200000,1012.54100000,5922250.00000000,2439.02000000,2458793.90691666,1.23823600,40586.30000000,393.66300000,-5.41026819,0.00988159,5922250.00000000,2439.02000000,12819.00000000,27767.30000000
21.74174200,-32.54321400,1489.93800000,975.75200000,4812280.00000000,2233.02000000,2458794.59022144,1.02717380,25085.66000000,723.17900000,-5.70731339,0.00988431,4812280.00000000,2233.02000000,7715.56000000,17370.10000000
21.74180400,-32.54319100,1529.26100000,970.17000000,4950670.00000000,2230.80000000,2458794.75345384,1.25356580,25774.83000000,378.46600000,-5.70867042,0.00988358,4950670.00000000,2230.80000000,8287.53000000,17487.30000000
21.74180400,-32.54319100,1529.26100000,970.17000000,4950670.00000000,2230.80000000,2458794.75567102,1.25356580,25774.83000000,378.46600000,-5.70867042,0.00988358,4950670.00000000,2230.80000000,8287.53000000,17487.30000000
21.74179100,-32.54324500,1526.55100000,1044.40200000,5101070.00000000,2262.09000000,2458794.91948737,1.16481890,40207.50000000,359.87700000,-5.25838553,0.00988320,5101070.00000000,2262.09000000,12860.60000000,27346.90000000
21.74179100,-32.54324500,1526.55100000,1044.40200000,5101070.00000000,2262.09000000,2458794.92170482,1.16481890,40207.50000000,359.87700000,-5.25838553,0.00988320,5101070.00000000,2262.09000000,12860.60000000,27346.90000000
21.74169700,-32.54322600,1547.00300000,986.19200000,6677260.00000000,2595.14000000,2458795.12108820,1.16235790,38927.90000000,494.99000000,-5.58584328,0.00988048,6677260.00000000,2595.14000000,12891.30000000,26036.60000000
21.74169700,-32.54322600,1547.00300000,986.19200000,6677260.00000000,2595.14000000,2458795.12330584,1.16235790,38927.90000000,494.99000000,-5.58584328,0.00988048,6677260.00000000,2595.14000000,12891.30000000,26036.60000000
21.74161100,-32.54317100,1504.35400000,1000.52300000,4767520.00000000,2185.93000000,2458795.25722161,1.23415460,42128.10000000,339.06800000,-5.13430163,0.00988401,4767520.00000000,2185.93000000,11951.90000000,30176.20000000
21.74168700,-32.54321600,1498.67700000,1034.36400000,5881530.00000000,2429.93000000,2458796.91928363,1.14579930,36830.00000000,382.05400000,-5.50822149,0.00988165,5881530.00000000,2429.93000000,11653.20000000,25176.80000000
21.74175600,-32.54321400,1495.23000000,969.47500000,5653850.00000000,2382.51000000,2458797.08600097,1.07646580,38365.90000000,397.13000000,-5.42099723,0.00988206,5653850.00000000,2382.51000000,12520.20000000,25845.70000000
21.74175600,-32.54321400,1495.23000000,969.47500000,5653850.00000000,2382.51000000,2458797.08822307,1.07646580,38365.90000000,397.13000000,-5.42099723,0.00988206,5653850.00000000,2382.51000000,12520.20000000,25845.70000000
21.74175200,-32.54316700,1499.09500000,1001.96500000,5313710.00000000,2368.68000000,2458797.64390587,1.00651030,28277.41000000,1022.98000000,-5.68489555,0.00988332,5313710.00000000,2368.68000000,8951.21000000,19326.20000000
21.74175200,-32.54316700,1499.09500000,1001.96500000,5313710.00000000,2368.68000000,2458797.64612872,1.00651030,28277.41000000,1022.98000000,-5.68489555,0.00988332,5313710.00000000,2368.68000000,8951.21000000,19326.20000000
21.74179700,-32.54322200,1560.54800000,1022.06800000,4748030.00000000,2184.86000000,2458797.91994998,1.13435270,37242.80000000,363.27200000,-5.26367782,0.00988410,4748030.00000000,2184.86000000,12013.90000000,25228.90000000
21.74179700,-32.54322200,1560.54800000,1022.06800000,4748030.00000000,2184.86000000,2458797.92217273,1.13435270,37242.80000000,363.27200000,-5.26367782,0.00988410,4748030.00000000,2184.86000000,12013.90000000,25228.90000000
21.74178200,-32.54319200,1561.89900000,1028.68100000,4299840.00000000,2078.50000000,2458797.93194130,1.10530780,36165.80000000,345.44300000,-5.18788555,0.00988540,4299840.00000000,2078.50000000,11076.80000000,25089.00000000
21.74182200,-32.54317000,1462.54600000,971.32400000,4641310.00000000,2157.84000000,2458798.08591440,1.08278880,39423.60000000,349.11100000,-5.17721074,0.00988436,4641310.00000000,2157.84000000,12193.00000000,27230.60000000
21.74182200,-32.54317000,1462.54600000,971.32400000,4641310.00000000,2157.84000000,2458798.08813822,1.08278880,39423.60000000,349.11100000,-5.17721074,0.00988436,4641310.00000000,2157.84000000,12193.00000000,27230.60000000
21.74176100,-32.54314300,1503.35100000,1001.40500000,5423170.00000000,2332.69000000,2458799.33981226,1.00878820,35522.58000000,326.69100000,-5.45937179,0.00988250,5423170.00000000,2332.69000000,9704.58000000,25818.00000000
21.74171300,-32.54326400,1525.74400000,995.28900000,6556540.00000000,2623.11000000,2458799.52125934,1.46828570,38597.40000000,954.32900000,-5.57529166,0.00988102,6556540.00000000,2623.11000000,12203.20000000,26394.20000000
21.74171300,-32.54326400,1525.74400000,995.28900000,6556540.00000000,2623.11000000,2458799.52348373,1.46828570,38597.40000000,954.32900000,-5.57529166,0.00988102,6556540.00000000,2623.11000000,12203.20000000,26394.20000000
21.74175400,-32.54317900,1491.50800000,989.65700000,4146830.00000000,2040.48000000,2458802.58541351,1.00962090,26519.98000000,303.44400000,-5.48535760,0.00988591,4146830.00000000,2040.48000000,7381.08000000,19138.90000000
21.74182900,-32.54316700,1538.15900000,1005.55000000,4951120.00000000,2228.51000000,2458803.91879455,1.08977000,36512.40000000,363.57400000,-5.33065768,0.00988355,4951120.00000000,2228.51000000,11438.20000000,25074.20000000
21.74182900,-32.54316700,1538.15900000,1005.55000000,4951120.00000000,2228.51000000,2458803.92101696,1.08977000,36512.40000000,363.57400000,-5.33065768,0.00988355,4951120.00000000,2228.51000000,11438.20000000,25074.20000000
21.74175100,-32.54320400,1491.93100000,1001.56900000,4245270.00000000,2065.93000000,2458804.59287704,1.00271410,23161.30000000,332.86200000,-5.65785596,0.00988559,4245270.00000000,2065.93000000,6705.60000000,16455.70000000
21.74175100,-32.54320400,1491.93100000,1001.56900000,4245270.00000000,2065.93000000,2458804.59509869,1.00271410,23161.30000000,332.86200000,-5.65785596,0.00988559,4245270.00000000,2065.93000000,6705.60000000,16455.70000000
21.74172400,-32.54325900,1491.66000000,993.01500000,7815420.00000000,2821.10000000,2458805.27243371,1.08548180,36288.90000000,658.69200000,-5.83294629,0.00987924,7815420.00000000,2821.10000000,11233.10000000,25055.80000000
21.74172400,-32.54325900,1491.66000000,993.01500000,7815420.00000000,2821.10000000,2458805.27465411,1.08548180,36288.90000000,658.69200000,-5.83294629,0.00987924,7815420.00000000,2821.10000000,11233.10000000,25055.80000000
21.74178600,-32.54318900,1492.12700000,999.75400000,4334390.00000000,2087.28000000,2458805.59282576,1.00190180,23591.56000000,319.90800000,-5.66042832,0.00988530,4334390.00000000,2087.28000000,6696.76000000,16894.80000000
21.74178600,-32.54318900,1492.12700000,999.75400000,4334390.00000000,2087.28000000,2458805.59504551,1.00190180,23591.56000000,319.90800000,-5.66042832,0.00988530,4334390.00000000,2087.28000000,6696.76000000,16894.80000000
21.74179100,-32.54322600,1500.22200000,971.39100000,4498460.00000000,2141.50000000,2458805.75186873,1.43565760,24582.08000000,557.33200000,-5.65611309,0.00988498,4498460.00000000,2141.50000000,7341.98000000,17240.10000000
21.74179100,-32.54322600,1500.22200000,971.39100000,4498460.00000000,2141.50000000,2458805.75408811,1.43565760,24582.08000000,557.33200000,-5.65611309,0.00988498,4498460.00000000,2141.50000000,7341.98000000,17240.10000000
21.74181800,-32.54317900,1501.92600000,1000.13100000,4330670.00000000,2083.92000000,2458805.95522959,1.01745780,35674.20000000,324.35900000,-5.21050212,0.00988528,4330670.00000000,2083.92000000,10740.20000000,24934.00000000
21.74181800,-32.54317900,1501.92600000,1000.13100000,4330670.00000000,2083.92000000,2458805.95744860,1.01745780,35674.20000000,324.35900000,-5.21050212,0.00988528,4330670.00000000,2083.92000000,10740.20000000,24934.00000000
